Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
513.9,7.220000000000001,24.3,38.3,27.1,10.3
513.8,5.76,25.0,32.0,31.6,11.4
513.8,4.8,28.9,33.5,15.8,21.8
513.7,4.2299999999999995,26.0,27.0,13.7,33.3
513.7,4.71,31.1,41.4,15.5,12.0
513.7,4.57,30.2,27.3,15.6,27.0
513.6,3.41,21.5,29.8,35.6,13.0
513.5,5.37,21.5,35.0,29.5,14.0
513.4,4.779999999999999,20.7,49.5,18.1,11.7
513.1,3.71,26.1,38.2,20.9,14.8
513.1,10.93,15.2,34.8,40.5,9.5
513.1,3.74,32.6,38.4,13.7,15.4
512.9,4.91,27.4,41.0,19.1,12.4
